|scenario_set|         MST|            features|prediction|30min|60min|90min|120min|
+------------+------------+--------------------+----------+-----+-----+-----+------+
|           0| 1.6797108E9|[1.6797108E9,54.3...|       0.0|  0.0|  0.0|  0.0|   0.0|
|           0|1.67971086E9|[1.67971086E9,56....|       0.0|  0.0|  0.0|  0.0|   0.0|
|           0|1.67971092E9|[1.67971092E9,58....|       0.0|  0.0|  0.0|  0.0|   0.0|
|           0|1.67971098E9|[1.67971098E9,61....|       1.0|  1.0|  1.0|  1.0|   1.0|
|           0|1.67971104E9|[1.67971104E9,63....|       1.0|  1.0|  1.0|  1.0|   1.0|
|           0| 1.6797111E9|[1.6797111E9,66.2...|       1.0|  1.0|  1.0|  1.0|   1.0|
|           0|1.67971116E9|[1.67971116E9,68....|       1.0|  1.0|  1.0|  1.0|   1.0|
|           0|1.67971122E9|[1.67971122E9,71....|       1.0|  1.0|  1.0|  1.0|   1.0|
|           0|1.67971128E9|[1.67971128E9,74....|       1.0|  1.0|  1.0|  1.0|   1.0|
|           0|1.67971134E9|[1.67971134E9,76....|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0| 1.6797114E9|[1.6797114E9,79.0...|       1.0|  1.0|  1.0|  1.0|   1.0|
|           0|1.67971146E9|[1.67971146E9,81....|       5.0|  5.0|  5.0|  5.0|   5.0|
|           0|1.67971152E9|[1.67971152E9,84....|       5.0|  5.0|  5.0|  5.0|   5.0|
|           0|1.67971158E9|[1.67971158E9,86....|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0|1.67971164E9|[1.67971164E9,89....|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0| 1.6797117E9|[1.6797117E9,92.2...|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0|1.67971176E9|[1.67971176E9,95....|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0|1.67971182E9|[1.67971182E9,97....|       5.0|  5.0|  5.0|  5.0|   5.0|
|           0|1.67971188E9|[1.67971188E9,100...|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0|1.67971194E9|[1.67971194E9,103...|       8.0|  8.0|  8.0|  8.0|   8.0|
|           0|  1.679712E9|[1.679712E9,106.1...|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0|1.67971206E9|[1.67971206E9,108...|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0|1.67971212E9|[1.67971212E9,111...|       8.0|  8.0|  8.0|  8.0|   8.0|
|           0|1.67971218E9|[1.67971218E9,114...|       8.0|  8.0|  8.0|  8.0|   8.0|
|           0|1.67971224E9|[1.67971224E9,117...|       7.0|  7.0|  7.0|  7.0|   7.0|
|           0| 1.6797123E9|[1.6797123E9,119....|       7.0|  7.0|  7.0|  7.0|   7.0|
